epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4011,3.30256,4.94865,4.24927,0.0007,0.16667,0.00074,0.00016,2.70707,4.79468,4.15721,0.00016,0.00016,0.00016
2,53.9663,3.24549,4.30027,4.15627,0.0007,0.16667,0.00159,0.00037,2.70091,4.7992,4.14682,0.000333268,0.000333268,0.000333268
3,75.7322,3.31523,4.42785,4.14818,0.0007,0.16667,0.00147,0.00034,2.69056,4.80151,4.13154,0.000499408,0.000499408,0.000499408
4,95.9543,3.09086,4.62224,3.64985,0.00053,0.125,0.00173,0.00049,2.67064,4.81337,4.10336,0.00065842,0.00065842,0.00065842
5,116.591,3.55329,4.15527,4.04435,0.0007,0.16667,0.0014,0.00036,2.65522,4.78977,4.07527,0.000810304,0.000810304,0.000810304
6,137.905,3.64074,4.0823,3.97762,0.0007,0.16667,0.00086,0.00016,2.65117,4.74472,4.04626,0.00095506,0.00095506,0.00095506
7,161.198,3.44243,4.32682,3.99035,0.00088,0.20833,0.00064,0.00016,2.62632,4.65356,3.99407,0.00109269,0.00109269,0.00109269
8,181.9,3.14753,4.06154,3.86384,0.0007,0.16667,0.00041,8e-05,2.56649,4.73363,3.90342,0.00122319,0.00122319,0.00122319
9,202.725,3.26698,4.20645,3.88519,0.00035,0.08333,0.00019,4e-05,2.57927,4.74698,3.87812,0.00134656,0.00134656,0.00134656
10,223.376,3.57407,4.4739,3.87972,0.00035,0.08333,0.00019,4e-05,2.68409,4.73985,3.87386,0.0014628,0.0014628,0.0014628
11,243.92,3.13085,4.18924,3.8623,0.00123,0.29167,0.00118,0.00029,2.61487,4.54306,3.78246,0.00157192,0.00157192,0.00157192
12,264.585,3.29551,3.96696,3.77313,0.00123,0.29167,0.0013,0.00026,2.43716,4.98811,3.59436,0.0015644,0.0015644,0.0015644
13,285.038,2.94575,3.91829,3.65223,0.00123,0.29167,0.00109,0.00022,2.45174,5.27711,3.55439,0.0015248,0.0015248,0.0015248
14,306.134,3.07011,4.24206,3.70036,0.00088,0.20833,0.00109,0.00023,2.41905,5.38431,3.49085,0.0014852,0.0014852,0.0014852
15,326.529,2.97686,3.8145,3.58541,0.00088,0.20833,0.0008,0.00018,2.60451,4.7955,3.57718,0.0014456,0.0014456,0.0014456
16,358.747,2.63135,4.21697,3.09671,0.00105,0.25,0.0009,0.00022,2.73377,4.6141,3.68882,0.001406,0.001406,0.001406
17,378.891,3.03721,3.89973,3.51075,0.00105,0.25,0.00079,0.00023,3.0755,4.63664,3.94244,0.0013664,0.0013664,0.0013664
